ModelFeatName	Chromosome	MidPoint	Strand
8360.m00116	3	705532	-
8360.m00117	3	711920	-
8360.m00118	3	716360	+
8360.m00119	3	719500	+
8360.m02803	3	17217768	+
8360.m02804	3	17227223	-
8360.m02805	3	17231401	+
8360.m02806	3	17233344	-
8360.m03463	3	20894714	+
8360.m02807	3	17235573	+
8360.m03464	3	20902059	-
8360.m02808	3	17242204	+
8360.m03465	3	20910420	-
8360.m02809	3	17246783	-
8360.m03466	3	20913757	-
8360.m02810	3	17251205	-
8360.m00120	3	720793	-
8360.m03467	3	20919296	+
8360.m02811	3	17253359	-
8360.m00121	3	722855	+
8360.m03468	3	20926077	+
8360.m02812	3	17257985	-
8360.m00122	3	732574	-
8360.m03469	3	20927886	-
8360.m00123	3	741132	-
8360.m03470	3	20939704	+
8360.m00124	3	746910	-
8360.m03471	3	20945474	-
8360.m00125	3	752704	+
8360.m03472	3	20949152	-
8360.m00126	3	759826	+
8360.m00127	3	766791	+
8360.m00128	3	772334	+
8360.m00129	3	776048	-
8360.m02813	3	17261859	+
8360.m02814	3	17274921	+
8360.m02815	3	17280643	-
8360.m02816	3	17292820	+
8360.m03473	3	20952230	+
8360.m02817	3	17300696	+
8360.m03474	3	20954341	-
8360.m02818	3	17303734	-
8360.m03475	3	20959801	-
8360.m02819	3	17305935	+
8360.m03476	3	20965623	-
8360.m02820	3	17312353	-
8360.m00130	3	782806	+
8360.m03477	3	20972113	-
8360.m02821	3	17320031	-
8360.m00131	3	792210	-
8360.m03478	3	20975600	+
8360.m02822	3	17326619	+
8360.m00132	3	798330	+
8360.m03479	3	20977474	-
8360.m00133	3	803672	+
8360.m03480	3	20979800	-
8360.m00134	3	809013	-
8360.m03481	3	20994132	-
8360.m00135	3	813472	+
8360.m03482	3	21009953	-
8360.m00136	3	822766	+
8360.m00137	3	827119	-
8360.m00138	3	829524	+
8360.m00139	3	833175	-
8360.m02823	3	17333821	-
8360.m02824	3	17343359	+
8360.m02825	3	17344876	+
8360.m02826	3	17347825	+
8360.m03483	3	21017267	+
8360.m02827	3	17349802	-
8360.m03484	3	21023847	+
8360.m02828	3	17353286	-
8360.m03485	3	21026733	+
8360.m02829	3	17356942	+
8360.m02830	3	17361959	+
8360.m00140	3	837142	-
8360.m03487	3	21030781	-
8360.m02831	3	17368945	+
8360.m00141	3	840353	-
8360.m03488	3	21042635	+
8360.m02832	3	17375973	-
8360.m00142	3	851891	+
8360.m03489	3	21049470	+
8360.m00143	3	858931	+
8360.m03490	3	21060002	+
8360.m00144	3	864263	-
8360.m03491	3	21065461	-
8360.m03492	3	21067360	+
8360.m00146	3	866734	-
8360.m00147	3	886271	+
8360.m00148	3	895662	-
8360.m00149	3	899208	-
8360.m02833	3	17386916	+
8360.m02834	3	17392743	-
8360.m02835	3	17403144	+
8360.m02836	3	17408694	+
8360.m03493	3	21075239	+
8360.m02837	3	17415484	-
8360.m03494	3	21089391	+
8360.m02838	3	17420945	-
8360.m03495	3	21096957	+
8360.m02839	3	17429455	-
8360.m03496	3	21101780	+
8360.m02840	3	17432200	-
8360.m00150	3	902869	+
8360.m03497	3	21105260	+
8360.m02841	3	17436159	-
8360.m00151	3	906565	+
8360.m03498	3	21107972	-
8360.m02842	3	17442577	+
8360.m00152	3	913098	+
8360.m03499	3	21117592	-
8360.m00153	3	916957	-
8360.m03500	3	21122054	+
8360.m00154	3	923629	+
8360.m03501	3	21125522	-
8360.m00155	3	927174	+
8360.m03502	3	21130704	+
8360.m00156	3	931120	-
8360.m00157	3	936357	+
8360.m00158	3	938742	-
8360.m00159	3	942593	+
8360.m02843	3	17454785	-
8360.m02844	3	17457530	+
8360.m02845	3	17462998	+
8360.m02846	3	17468233	+
8360.m02847	3	17474164	-
8360.m02848	3	17475111	-
8360.m02849	3	17480371	+
8360.m02850	3	17485524	+
8360.m00160	3	946101	+
8360.m02851	3	17493992	-
8360.m00161	3	949192	+
8360.m02852	3	17503853	-
8360.m00162	3	956107	+
8360.m00163	3	958916	+
8360.m00164	3	967545	+
8360.m00165	3	972696	+
8360.m00166	3	979320	+
8360.m00167	3	984298	+
8360.m00168	3	989130	+
8360.m00169	3	997307	+
8360.m02853	3	17512438	-
8360.m02854	3	17516602	-
8360.m02855	3	17519172	-
8360.m02856	3	17522836	+
8360.m02857	3	17529082	+
8360.m02858	3	17531529	-
8360.m02859	3	17537322	+
8360.m02860	3	17543919	-
8360.m00170	3	1002387	+
8360.m02861	3	17548722	-
8360.m00171	3	1005387	-
8360.m02862	3	17558385	+
8360.m00172	3	1009381	-
8360.m00173	3	1015114	-
8360.m00174	3	1043072	+
8360.m00175	3	1058028	-
8360.m00176	3	1060706	+
8360.m00177	3	1063964	+
8360.m00178	3	1071114	+
8360.m00179	3	1073945	+
8360.m05406	3	32741467	-
8360.m05407	3	32744871	-
8360.m05408	3	32747848	-
8360.m05409	3	32753396	+
8360.m05410	3	32758148	+
8360.m05411	3	32762916	-
8360.m05412	3	32773563	+
8360.m05413	3	32780027	+
8360.m05414	3	32785574	+
8360.m05415	3	32789598	-
8360.m02863	3	17561749	+
8360.m02864	3	17568226	+
8360.m02865	3	17576689	+
8360.m02866	3	17592725	+
8360.m02867	3	17603080	+
8360.m02868	3	17612221	+
8360.m02869	3	17614497	-
8360.m02870	3	17615674	-
8360.m00180	3	1079008	+
8360.m02871	3	17621747	+
8360.m00181	3	1085726	-
8360.m02872	3	17632673	+
8360.m00182	3	1090348	-
8360.m00183	3	1101486	-
8360.m00184	3	1105768	-
8360.m00185	3	1112295	+
8360.m00186	3	1115114	+
8360.m00187	3	1118701	+
8360.m00188	3	1133531	+
8360.m00189	3	1147900	-
8360.m05416	3	32793802	-
8360.m05417	3	32794978	+
8360.m05418	3	32806761	+
8360.m05419	3	32811297	-
8360.m05420	3	32815067	-
8360.m05421	3	32818867	-
8360.m05423	3	32822768	-
8360.m05424	3	32834427	+
8360.m05425	3	32840654	-
8360.m02873	3	17636183	+
8360.m02874	3	17638703	+
8360.m02875	3	17644224	+
8360.m02876	3	17653969	+
8360.m02877	3	17658581	-
8360.m02878	3	17667654	-
8360.m02879	3	17676186	-
8360.m02880	3	17686013	+
8360.m00190	3	1153960	-
8360.m02881	3	17706284	+
8360.m00191	3	1159036	-
8360.m02882	3	17722222	+
8360.m00192	3	1162198	-
8360.m00193	3	1170996	-
8360.m00194	3	1174597	+
8360.m00195	3	1180105	-
8360.m00196	3	1193777	+
8360.m00197	3	1199628	-
8360.m00198	3	1207049	+
8360.m00199	3	1209763	-
8360.m05426	3	32848093	-
8360.m05427	3	32854794	+
8360.m05428	3	32858472	+
8360.m05429	3	32861231	-
8360.m05430	3	32864092	-
8360.m05431	3	32868583	+
8360.m05432	3	32880739	+
8360.m05433	3	32886583	-
8360.m05434	3	32890524	+
8360.m05435	3	32893222	-
8360.m02883	3	17733656	+
8360.m02884	3	17742122	-
8360.m02885	3	17754648	-
8360.m02886	3	17760636	-
8360.m02887	3	17762975	-
8360.m02888	3	17768744	+
8360.m02889	3	17779710	-
8360.m02890	3	17782805	+
8360.m02891	3	17799037	+
8360.m02892	3	17805095	+
8360.m05436	3	32903495	+
8360.m05437	3	32906532	+
8360.m05438	3	32909753	-
8360.m05439	3	32917752	+
8360.m05440	3	32923300	+
8360.m05441	3	32925787	+
8360.m05442	3	32931445	-
8360.m05443	3	32941071	-
8360.m05444	3	32948244	+
8360.m05445	3	32955768	+
8360.m02893	3	17808707	-
8360.m02894	3	17813535	-
8360.m02895	3	17825066	-
8360.m02896	3	17829515	+
8360.m02897	3	17836919	+
8360.m02898	3	17841587	+
8360.m02899	3	17843956	+
8360.m02900	3	17851911	+
8360.m02901	3	17864475	+
8360.m02902	3	17865961	-
8360.m05446	3	32960097	+
8360.m05447	3	32963367	-
8360.m05448	3	32966696	-
8360.m05449	3	32969108	-
8360.m02100	3	13001848	-
8360.m05450	3	32973682	-
8360.m02101	3	13008420	-
8360.m05451	3	32978817	+
8360.m02102	3	13014838	-
8360.m05452	3	32984266	+
8360.m02103	3	13020237	-
8360.m05453	3	32993747	-
8360.m02104	3	13024813	-
8360.m05454	3	32998679	+
8360.m02105	3	13034794	-
8360.m05455	3	33001781	+
8360.m02106	3	13039483	-
8360.m02107	3	13046804	-
8360.m02108	3	13052629	+
8360.m02109	3	13060289	+
8360.m05456	3	33005443	-
8360.m05457	3	33010492	+
8360.m05458	3	33011195	-
8360.m05459	3	33013492	-
8360.m02110	3	13065535	+
8360.m05460	3	33017259	-
8360.m02111	3	13067946	-
8360.m05461	3	33027157	+
8360.m02112	3	13074175	+
8360.m05462	3	33029555	-
8360.m02113	3	13078416	-
8360.m05463	3	33034469	+
8360.m02114	3	13093010	+
8360.m05465	3	33042927	+
8360.m02115	3	13101128	+
8360.m05466	3	33046480	+
8360.m02116	3	13111142	-
8360.m02117	3	13116406	+
8360.m02118	3	13122127	-
8360.m02119	3	13127153	-
8360.m04803	3	29361604	-
8360.m04804	3	29365627	-
8360.m04805	3	29372003	+
8360.m04806	3	29375001	-
8360.m05467	3	33049337	+
8360.m04807	3	29377258	-
8360.m05468	3	33051348	+
8360.m04808	3	29385203	+
8360.m05469	3	33054097	-
8360.m04809	3	29390232	-
8360.m05470	3	33060330	-
8360.m04810	3	29395555	+
8360.m02120	3	13131354	+
8360.m05471	3	33067063	+
8360.m04811	3	29402737	+
8360.m02121	3	13135395	-
8360.m05472	3	33074481	+
8360.m04812	3	29413573	+
8360.m02122	3	13140879	+
8360.m05473	3	33081685	+
8360.m02123	3	13153324	+
8360.m05474	3	33094865	-
8360.m02124	3	13160953	-
8360.m05475	3	33106808	+
8360.m02125	3	13162010	-
8360.m05476	3	33109066	+
8360.m02126	3	13165445	+
8360.m02127	3	13168625	+
8360.m02128	3	13170819	-
8360.m02129	3	13175016	+
8360.m04813	3	29421401	-
8360.m04814	3	29422595	+
8360.m04815	3	29426801	+
8360.m04816	3	29431077	-
8360.m05477	3	33111841	+
8360.m04817	3	29438968	+
8360.m05478	3	33114354	-
8360.m04818	3	29441942	-
8360.m05479	3	33118141	-
8360.m04819	3	29443100	+
8360.m05480	3	33124871	+
8360.m04820	3	29446128	-
8360.m02130	3	13178868	+
8360.m05481	3	33128145	-
8360.m04821	3	29452845	-
8360.m02131	3	13182213	+
8360.m05482	3	33141532	+
8360.m04822	3	29460915	+
8360.m02132	3	13185154	+
8360.m05483	3	33146157	-
8360.m02133	3	13187605	-
8360.m05484	3	33149807	+
8360.m02134	3	13195903	+
8360.m05485	3	33153713	+
8360.m02135	3	13201680	+
8360.m05486	3	33156270	+
8360.m02136	3	13212955	+
8360.m02137	3	13223374	+
8360.m02138	3	13234254	+
8360.m02139	3	13241489	+
8360.m04823	3	29464854	+
8360.m04824	3	29470476	+
8360.m04825	3	29488866	+
8360.m04826	3	29497298	+
8360.m05487	3	33158631	+
8360.m04827	3	29502629	-
8360.m05488	3	33161924	+
8360.m04828	3	29505904	+
8360.m05489	3	33165278	-
8360.m04829	3	29510346	+
8360.m05490	3	33175967	-
8360.m04830	3	29512427	-
8360.m02140	3	13248140	-
8360.m05491	3	33182473	-
8360.m04831	3	29520161	+
8360.m02141	3	13255943	-
8360.m05492	3	33185950	-
8360.m04832	3	29523243	+
8360.m02142	3	13262551	+
8360.m05493	3	33194099	-
8360.m02143	3	13268050	+
8360.m05494	3	33197172	-
8360.m02144	3	13275327	-
8360.m05495	3	33213320	-
8360.m02145	3	13281291	+
8360.m05496	3	33217771	-
8360.m02146	3	13285422	-
8360.m02147	3	13288035	-
8360.m02148	3	13292132	+
8360.m02149	3	13296961	+
8360.m04833	3	29528657	-
8360.m04835	3	29534447	+
8360.m04836	3	29536201	-
8360.m05497	3	33222417	-
8360.m04837	3	29539361	-
8360.m05498	3	33226448	-
8360.m04838	3	29548578	+
8360.m05499	3	33230861	-
8360.m04839	3	29554910	+
8360.m05500	3	33234209	+
8360.m04840	3	29559860	-
8360.m02150	3	13298792	-
8360.m05501	3	33240268	+
8360.m04841	3	29562301	-
8360.m02151	3	13300914	+
8360.m05502	3	33250371	+
8360.m04842	3	29571903	-
8360.m02152	3	13308210	-
8360.m05503	3	33252851	-
8360.m02153	3	13311661	-
8360.m05504	3	33256103	+
8360.m02154	3	13320908	-
8360.m05505	3	33259551	-
8360.m02155	3	13331623	-
8360.m05506	3	33262751	-
8360.m02156	3	13334999	-
8360.m02157	3	13350898	-
8360.m02158	3	13360741	-
8360.m02159	3	13367217	+
8360.m04843	3	29575792	-
8360.m04844	3	29578473	-
8360.m04845	3	29583875	+
8360.m04846	3	29585586	-
8360.m01500	3	9109005	+
8360.m04847	3	29590479	+
8360.m01501	3	9117108	-
8360.m04848	3	29595457	-
8360.m01502	3	9128491	-
8360.m04849	3	29599143	-
8360.m01503	3	9135769	+
8360.m04850	3	29601689	-
8360.m02160	3	13374946	+
8360.m01504	3	9140723	-
8360.m04851	3	29604124	-
8360.m02161	3	13379191	-
8360.m01505	3	9143181	+
8360.m04852	3	29609433	-
8360.m02162	3	13381921	+
8360.m01506	3	9146293	-
8360.m02163	3	13389013	+
8360.m01507	3	9155739	+
8360.m02164	3	13391928	-
8360.m01508	3	9162994	+
8360.m02165	3	13394637	-
8360.m01509	3	9176598	+
8360.m02166	3	13400385	+
8360.m02167	3	13403972	+
8360.m02168	3	13406886	-
8360.m02169	3	13420960	+
8360.m04853	3	29616488	+
8360.m04854	3	29619334	+
8360.m04855	3	29623747	+
8360.m04856	3	29629820	+
8360.m01510	3	9180868	+
8360.m04857	3	29633087	-
8360.m01511	3	9209689	+
8360.m04858	3	29641017	+
8360.m01512	3	9221234	-
8360.m04859	3	29645435	+
8360.m01513	3	9224104	-
8360.m04860	3	29649401	-
8360.m02170	3	13425234	-
8360.m01514	3	9227412	+
8360.m04861	3	29651431	+
8360.m02171	3	13428511	-
8360.m01515	3	9231235	-
8360.m04862	3	29654367	-
8360.m02172	3	13434440	+
8360.m01516	3	9239237	+
8360.m02173	3	13438139	-
8360.m01517	3	9246312	+
8360.m02174	3	13444064	+
8360.m01518	3	9253829	-
8360.m02175	3	13450334	+
8360.m01519	3	9257910	-
8360.m02176	3	13456903	+
8360.m02177	3	13461357	+
8360.m02178	3	13468566	-
8360.m02179	3	13474940	+
8360.m04863	3	29656102	-
8360.m04864	3	29657905	+
8360.m04865	3	29663398	+
8360.m04866	3	29667800	-
8360.m01520	3	9269807	+
8360.m04867	3	29674254	-
8360.m01521	3	9274321	-
8360.m04868	3	29685442	-
8360.m01522	3	9285715	-
8360.m04869	3	29693779	+
8360.m01523	3	9291388	+
8360.m04870	3	29698720	-
8360.m02180	3	13481499	+
8360.m01524	3	9306665	-
8360.m04871	3	29712475	-
8360.m02181	3	13489901	+
8360.m01525	3	9319571	-
8360.m04872	3	29715377	+
8360.m02182	3	13502484	+
8360.m01526	3	9330948	+
8360.m02183	3	13509703	+
8360.m01527	3	9333887	-
8360.m02184	3	13516571	+
8360.m01528	3	9339655	-
8360.m02185	3	13525597	-
8360.m02186	3	13531331	-
8360.m02187	3	13537180	+
8360.m02188	3	13543531	-
8360.m02189	3	13557979	+
8360.m04873	3	29720415	-
8360.m04874	3	29725205	-
8360.m04875	3	29729483	+
8360.m04876	3	29744549	+
8360.m01530	3	9344562	-
8360.m04877	3	29746935	-
8360.m01531	3	9353441	-
8360.m04878	3	29753151	+
8360.m01532	3	9363418	+
8360.m04879	3	29758332	+
8360.m01533	3	9373286	-
8360.m04880	3	29765617	+
8360.m02190	3	13564496	-
8360.m01534	3	9376211	+
8360.m04881	3	29773830	+
8360.m02191	3	13573877	+
8360.m01535	3	9378828	-
8360.m04882	3	29779462	-
8360.m02192	3	13575654	+
8360.m01536	3	9381758	-
8360.m02193	3	13579525	+
8360.m01537	3	9385685	-
8360.m02194	3	13594136	+
8360.m01538	3	9393508	-
8360.m02195	3	13599478	-
8360.m01539	3	9398111	+
8360.m02196	3	13603525	+
8360.m02197	3	13609083	-
8360.m02198	3	13612393	-
8360.m02199	3	13614227	+
8360.m04883	3	29783179	-
8360.m04884	3	29787484	+
8360.m04885	3	29790080	+
8360.m04886	3	29795440	+
8360.m01540	3	9400707	-
8360.m04887	3	29799177	+
8360.m01541	3	9406688	+
8360.m04888	3	29810962	-
8360.m01542	3	9411229	-
8360.m04889	3	29814345	-
8360.m01543	3	9416829	-
8360.m04890	3	29819032	-
8360.m01544	3	9422623	+
8360.m04891	3	29825525	+
8360.m01545	3	9438336	+
8360.m01546	3	9443741	+
8360.m04892	3	29831669	-
8360.m01547	3	9449560	-
8360.m01548	3	9451371	-
8360.m01549	3	9452490	+
8360.m04893	3	29839055	-
8360.m04894	3	29843587	-
8360.m04895	3	29850016	-
8360.m04896	3	29859101	+
8360.m01550	3	9456279	+
8360.m04897	3	29864152	-
8360.m01551	3	9458818	-
8360.m04898	3	29873837	-
8360.m01552	3	9461275	+
8360.m04899	3	29878856	+
8360.m01553	3	9468294	-
8360.m04900	3	29890801	-
8360.m01554	3	9475419	-
8360.m01555	3	9479950	-
8360.m04901	3	29898012	+
8360.m01556	3	9484808	-
8360.m04902	3	29904586	+
8360.m01557	3	9497813	+
8360.m01558	3	9510132	+
8360.m01559	3	9521351	-
8360.m04103	3	25037991	+
8360.m04104	3	25043138	-
8360.m04105	3	25051193	+
8360.m04106	3	25055141	+
8360.m04107	3	25061467	-
8360.m04108	3	25079408	+
8360.m04109	3	25083564	+
8360.m04110	3	25085591	+
8360.m04111	3	25093388	+
8360.m00900	3	5357492	-
8360.m04112	3	25097291	+
8360.m00901	3	5360678	-
8360.m00902	3	5364867	+
8360.m00903	3	5368575	+
8360.m01560	3	9532118	+
8360.m00904	3	5372154	-
8360.m01561	3	9535308	+
8360.m00905	3	5378952	+
8360.m01562	3	9553689	+
8360.m00906	3	5399163	+
8360.m01563	3	9559321	+
8360.m00907	3	5407551	-
8360.m01564	3	9561574	-
8360.m00908	3	5413184	+
8360.m01565	3	9566052	+
8360.m00909	3	5419106	-
8360.m01566	3	9571392	+
8360.m01567	3	9577432	-
8360.m01568	3	9583413	-
8360.m01569	3	9588416	+
8360.m04113	3	25100759	+
8360.m04114	3	25105945	+
8360.m04115	3	25111057	+
8360.m04116	3	25116920	-
8360.m04117	3	25124983	+
8360.m04118	3	25129835	-
8360.m04119	3	25134940	+
8360.m04120	3	25137310	-
8360.m04121	3	25143245	+
8360.m00910	3	5423379	+
8360.m04122	3	25146171	-
8360.m00911	3	5429586	-
8360.m00912	3	5436117	+
8360.m00913	3	5440149	+
8360.m01570	3	9589623	-
8360.m00914	3	5443815	-
8360.m01571	3	9593714	+
8360.m00915	3	5449414	-
8360.m01572	3	9598280	-
8360.m00916	3	5454182	-
8360.m01573	3	9602376	+
8360.m00917	3	5456014	+
8360.m01574	3	9605411	+
8360.m00918	3	5457992	-
8360.m01575	3	9608637	-
8360.m00919	3	5462361	-
8360.m01576	3	9614927	+
8360.m01577	3	9617834	+
8360.m01578	3	9625415	+
8360.m01579	3	9627813	+
8360.m04123	3	25149217	-
8360.m04124	3	25153988	+
8360.m04125	3	25158896	+
8360.m04126	3	25164062	+
8360.m04127	3	25169503	-
8360.m04128	3	25180489	-
8360.m04129	3	25183242	-
8360.m04130	3	25185112	+
8360.m04131	3	25190678	-
8360.m00920	3	5470605	+
8360.m04132	3	25197303	-
8360.m00921	3	5472501	-
8360.m00922	3	5488699	+
8360.m00923	3	5495957	+
8360.m01580	3	9629394	+
8360.m00924	3	5508522	+
8360.m01581	3	9635502	-
8360.m00925	3	5515438	-
8360.m01582	3	9642247	-
8360.m00926	3	5525591	-
8360.m01583	3	9651680	+
8360.m00927	3	5534326	-
8360.m01584	3	9657005	+
8360.m00928	3	5545117	+
8360.m01585	3	9660660	-
8360.m00929	3	5549956	-
8360.m01586	3	9664730	+
8360.m01587	3	9668581	-
8360.m01588	3	9672893	-
8360.m01589	3	9678109	-
8360.m04133	3	25210613	-
8360.m04134	3	25216100	+
8360.m04135	3	25220739	+
8360.m04136	3	25227604	+
8360.m04137	3	25232853	-
8360.m04138	3	25241075	+
8360.m04139	3	25246383	+
8360.m04140	3	25265101	+
8360.m04141	3	25270716	+
8360.m00930	3	5558418	-
8360.m04142	3	25274829	+
8360.m00931	3	5563657	+
8360.m00932	3	5567169	-
8360.m00933	3	5570948	+
8360.m01590	3	9682802	+
8360.m00934	3	5574274	-
8360.m01591	3	9685873	-
8360.m00935	3	5584362	+
8360.m01592	3	9691395	-
8360.m00936	3	5587848	-
8360.m01593	3	9694719	-
8360.m00937	3	5590376	-
8360.m01594	3	9698674	+
8360.m00938	3	5594416	-
8360.m01595	3	9706922	+
8360.m00939	3	5602555	+
8360.m01596	3	9713294	-
8360.m01597	3	9717539	+
8360.m01598	3	9723002	-
8360.m01599	3	9739757	-
8360.m04143	3	25280133	+
8360.m04144	3	25284495	-
8360.m04145	3	25289941	-
8360.m04146	3	25295041	-
8360.m04147	3	25298387	-
8360.m04148	3	25303934	-
8360.m04149	3	25310622	-
8360.m04150	3	25320107	-
8360.m04151	3	25320771	-
8360.m00940	3	5609552	-
8360.m04152	3	25327830	-
8360.m00941	3	5612408	+
8360.m00942	3	5618393	+
8360.m00943	3	5624171	-
8360.m00944	3	5631175	+
8360.m00945	3	5633608	-
8360.m00946	3	5646739	+
8360.m00947	3	5650675	+
8360.m00948	3	5654918	+
8360.m00949	3	5659016	-
8360.m04153	3	25331349	-
8360.m04154	3	25337582	+
8360.m04155	3	25343057	-
8360.m04156	3	25348154	-
8360.m04157	3	25354385	+
8360.m04158	3	25360414	-
8360.m04159	3	25362810	-
8360.m04160	3	25364372	+
8360.m04161	3	25378517	-
8360.m00950	3	5663039	+
8360.m04162	3	25386847	+
8360.m00951	3	5672078	+
8360.m00952	3	5674742	+
8360.m00953	3	5680027	+
8360.m00954	3	5684581	+
8360.m00955	3	5688601	-
8360.m00956	3	5700656	+
8360.m00957	3	5707513	+
8360.m00958	3	5717088	+
8360.m00959	3	5723610	-
8360.m03503	3	21146240	-
8360.m03504	3	21154509	-
8360.m03505	3	21158402	-
8360.m03506	3	21164133	-
8360.m04163	3	25391260	+
8360.m03507	3	21175201	+
8360.m04164	3	25396115	-
8360.m03508	3	21180301	-
8360.m04165	3	25400670	-
8360.m03509	3	21188621	-
8360.m04166	3	25405683	+
8360.m03510	3	21207878	+
8360.m04167	3	25407072	+
8360.m03511	3	21213325	-
8360.m04168	3	25411901	-
8360.m03512	3	21216207	-
8360.m04169	3	25416180	-
8360.m04170	3	25420370	-
8360.m04171	3	25429601	-
8360.m00960	3	5726093	-
8360.m04172	3	25430796	-
8360.m00961	3	5729426	-
8360.m00962	3	5731631	-
8360.m00963	3	5734714	-
8360.m00964	3	5740070	-
8360.m00965	3	5747137	+
8360.m00966	3	5751590	-
8360.m00967	3	5754460	+
8360.m00968	3	5761228	-
8360.m00969	3	5772576	+
8360.m03513	3	21218335	-
8360.m03514	3	21219269	+
8360.m03515	3	21223355	-
8360.m03516	3	21233197	-
8360.m04173	3	25438676	-
8360.m03517	3	21238440	+
8360.m04174	3	25444947	-
8360.m03518	3	21242734	-
8360.m04175	3	25450178	+
8360.m03519	3	21249257	+
8360.m04176	3	25455296	-
8360.m03520	3	21260532	+
8360.m04177	3	25458381	-
8360.m03521	3	21264406	-
8360.m04178	3	25460499	-
8360.m03522	3	21266704	+
8360.m04179	3	25465241	+
8360.m04180	3	25469324	-
8360.m04181	3	25473370	-
8360.m00970	3	5776528	+
8360.m04182	3	25478856	+
8360.m00971	3	5778511	-
8360.m00972	3	5782622	-
8360.m00973	3	5787194	+
8360.m00974	3	5791435	-
8360.m00975	3	5795309	+
8360.m00976	3	5802080	+
8360.m00977	3	5807886	-
8360.m00978	3	5818891	-
8360.m00979	3	5825608	+
8360.m03523	3	21270488	+
8360.m03524	3	21275760	-
8360.m03525	3	21280724	+
8360.m03526	3	21288029	-
8360.m04183	3	25491942	-
8360.m03527	3	21292047	+
8360.m04184	3	25497023	-
8360.m03528	3	21296472	-
8360.m04185	3	25514275	-
8360.m03529	3	21299961	-
8360.m04186	3	25523430	+
8360.m04187	3	25528064	-
8360.m03531	3	21303514	+
8360.m04188	3	25529756	-
8360.m03532	3	21307801	-
8360.m04189	3	25535433	+
8360.m04190	3	25542057	+
8360.m04191	3	25559478	-
8360.m00980	3	5830888	+
8360.m04192	3	25567756	+
8360.m00981	3	5835025	+
8360.m00982	3	5837946	+
8360.m00983	3	5839764	-
8360.m00984	3	5849040	+
8360.m00985	3	5854881	+
8360.m00986	3	5857953	+
8360.m00987	3	5869936	+
8360.m00988	3	5886730	-
8360.m00989	3	5899755	+
8360.m03533	3	21313274	+
8360.m03534	3	21317764	-
8360.m03535	3	21325871	-
8360.m03536	3	21328637	-
8360.m04193	3	25570454	-
8360.m03537	3	21333356	+
8360.m04194	3	25579331	+
8360.m03538	3	21336882	+
8360.m04195	3	25581433	-
8360.m03539	3	21344848	+
8360.m04196	3	25582526	-
8360.m03540	3	21347376	-
8360.m04197	3	25594198	-
8360.m03541	3	21353490	+
8360.m04198	3	25603611	-
8360.m03542	3	21361623	-
8360.m04199	3	25609530	-
8360.m04200	3	25614808	-
8360.m04201	3	25618309	+
8360.m00990	3	5904492	+
8360.m04202	3	25621532	+
8360.m00991	3	5908968	+
8360.m00992	3	5914873	-
8360.m00993	3	5919662	-
8360.m00994	3	5927079	+
8360.m00995	3	5933273	+
8360.m00996	3	5937991	+
8360.m00997	3	5942839	-
8360.m00998	3	5952409	-
8360.m00999	3	5958451	+
8360.m03543	3	21376484	+
8360.m03544	3	21380250	-
8360.m03545	3	21387690	-
8360.m03546	3	21394833	+
8360.m00200	3	1212967	-
8360.m03547	3	21400013	+
8360.m00201	3	1216283	-
8360.m03548	3	21403829	-
8360.m00202	3	1224232	-
8360.m03549	3	21410405	+
8360.m00203	3	1240282	-
8360.m03550	3	21414581	-
8360.m00204	3	1245963	-
8360.m03551	3	21423072	-
8360.m00205	3	1250803	-
8360.m03552	3	21428676	-
8360.m00206	3	1256331	+
8360.m00207	3	1268086	+
8360.m00208	3	1278769	-
8360.m00209	3	1290382	+
8360.m03553	3	21434606	+
8360.m03554	3	21437660	-
8360.m03555	3	21443710	+
8360.m03556	3	21447159	-
8360.m00210	3	1293140	-
8360.m03557	3	21449075	+
8360.m00211	3	1299439	+
8360.m03558	3	21455975	-
8360.m00212	3	1303083	+
8360.m03559	3	21459029	+
8360.m00213	3	1308980	+
8360.m03560	3	21461153	-
8360.m00214	3	1320452	+
8360.m03561	3	21466763	+
8360.m00215	3	1323958	+
8360.m03562	3	21471104	-
8360.m00216	3	1327536	-
8360.m00217	3	1330470	+
8360.m00218	3	1336470	+
8360.m00219	3	1345883	+
8360.m02903	3	17867271	+
8360.m02904	3	17871150	+
8360.m02905	3	17873158	-
8360.m02906	3	17880248	+
8360.m03563	3	21478413	-
8360.m02907	3	17885814	+
8360.m03564	3	21482623	-
8360.m02908	3	17889166	-
8360.m03565	3	21484705	+
8360.m02909	3	17892459	+
8360.m03566	3	21486373	-
8360.m02910	3	17895698	-
8360.m00220	3	1350041	-
8360.m03567	3	21491794	+
8360.m02911	3	17896804	-
8360.m00221	3	1352722	+
8360.m03568	3	21495432	-
8360.m02912	3	17900516	-
8360.m00222	3	1363716	+
8360.m03569	3	21496945	-
8360.m00223	3	1368548	-
8360.m03570	3	21500340	+
8360.m00224	3	1379364	+
8360.m03571	3	21505532	-
8360.m00225	3	1387086	+
8360.m03572	3	21514107	-
8360.m00226	3	1390459	+
8360.m00227	3	1396009	-
8360.m00228	3	1398471	-
8360.m00229	3	1399863	+
8360.m02913	3	17906319	-
8360.m02914	3	17911383	-
8360.m02915	3	17914422	+
8360.m02916	3	17916356	-
8360.m03573	3	21516173	+
8360.m02917	3	17921147	-
8360.m03574	3	21522033	+
