PubLocus	Chromosome	Class	MidPoint	Strand	Pseudo	Curated	GeneLen	ProLength	CDSLen	Iso	Exon	CDS	GS5	GS3
At5g16370	5	annotated_genes	5357561	-	0	0	1907	0	0	0	1	1	5358514 	5356608 	
At5g22610	5	annotated_genes	7516069	+	0	0	1700	0	0	0	4	4	7515220 	7516919 	
At5g22620	5	annotated_genes	7518933	-	0	0	2619	0	0	0	9	9	7520242 	7517624 	
At5g22630	5	annotated_genes	7525254	+	0	0	1819	0	0	0	1	1	7524345 	7526163 	
At5g65685	5	annotated_genes	26291753	-	0	0	2785	0	0	0	13	13	26293145 	26290361 	
At5g65700	5	annotated_genes	26300729	+	0	0	3488	0	0	0	2	2	26298986 	26302473 	
At5g65710	5	annotated_genes	26311132	+	0	0	3069	0	0	0	2	2	26309598 	26312666 	
At5g65720	5	annotated_genes	26314388	+	0	0	1820	0	0	0	1	1	26313479 	26315298 	
At5g65730	5	annotated_genes	26316983	+	0	0	1442	0	0	0	4	4	26316263 	26317704 	
At5g65740	5	annotated_genes	26319694	-	0	0	1931	0	0	0	9	7	26320659 	26318729 	
At5g65750	5	annotated_genes	26323173	+	0	0	4484	0	0	0	9	8	26320932 	26325415 	
At5g65760	5	annotated_genes	26326865	+	0	0	2764	0	0	0	10	10	26325484 	26328247 	
At5g65770	5	annotated_genes	26330791	+	0	0	3958	0	0	0	7	7	26328813 	26332770 	
At5g65780	5	annotated_genes	26334298	+	0	0	3365	0	0	0	12	10	26332616 	26335980 	
At5g16380	5	annotated_genes	5360063	-	0	0	1301	0	0	0	2	2	5360713 	5359413 	
At5g16390	5	annotated_genes	5361970	-	0	0	2318	0	0	1	7	7	5363129 	5360812 	
At5g16400	5	annotated_genes	5364491	-	0	0	1656	0	0	0	3	3	5365319 	5363664 	
At5g16410	5	annotated_genes	5366530	-	0	0	1717	0	0	0	2	2	5367388 	5365672 	
At5g16420	5	annotated_genes	5368840	+	0	0	1608	0	0	0	1	1	5368037 	5369644 	
At5g16430	5	annotated_genes	5370481	+	0	0	258	0	0	0	1	1	5370353 	5370610 	
At5g16440	5	annotated_genes	5372752	+	0	0	1962	0	0	0	6	6	5371772 	5373733 	
At5g16450	5	annotated_genes	5374770	+	0	0	1401	0	0	1	3	2	5374062 	5375462 	
At5g16460	5	annotated_genes	5377812	-	0	0	1449	0	0	0	2	2	5378536 	5377088 	
At5g16470	5	annotated_genes	5379731	+	0	0	625	0	0	0	1	1	5379419 	5380043 	
At5g65790	5	annotated_genes	26340989	+	0	0	1631	0	0	0	3	3	26340174 	26341804 	
At5g65800	5	annotated_genes	26349005	-	0	0	2067	0	0	0	3	3	26350038 	26347972 	
At5g65810	5	annotated_genes	26355929	-	0	0	2069	0	0	0	7	6	26356963 	26354895 	
At5g65820	5	annotated_genes	26358058	-	0	0	1914	0	0	0	1	1	26359015 	26357102 	
At5g65830	5	annotated_genes	26359944	-	0	0	1206	0	0	0	1	1	26360547 	26359342 	
At5g65840	5	annotated_genes	26362122	-	0	0	2334	0	0	0	7	7	26363289 	26360956 	
At5g65850	5	annotated_genes	26364132	+	0	0	1179	0	0	0	1	1	26363543 	26364721 	
At5g16480	5	annotated_genes	5382008	-	0	0	1785	0	0	0	5	5	5382900 	5381116 	
At5g16490	5	annotated_genes	5384839	-	0	0	738	0	0	0	3	3	5385208 	5384471 	
At5g16500	5	annotated_genes	5387923	-	0	0	2491	0	0	0	5	5	5389168 	5386678 	
At5g16505	5	annotated_genes	5391201	+	1	0	2371	0	0	0	1	1	5390016 	5392386 	
At5g16510	5	annotated_genes	5393683	+	0	0	1930	0	0	1	2	1	5392642 	5394571 	
At5g16520	5	annotated_genes	5396057	-	0	0	2803	0	0	0	8	8	5397458 	5394656 	
At5g16530	5	annotated_genes	5401608	+	0	0	1742	0	0	0	5	5	5400738 	5402479 	
At5g16540	5	annotated_genes	5404240	+	0	0	1967	0	0	2	6	6	5403191 	5405157 	
At5g16550	5	annotated_genes	5406177	+	0	0	1420	0	0	0	3	3	5405468 	5406887 	
At5g16560	5	annotated_genes	5409146	-	0	0	4562	0	0	0	6	6	5411427 	5406866 	
At5g65860	5	annotated_genes	26365544	-	0	0	1452	0	0	0	1	1	26366270 	26364819 	
At5g65870	5	annotated_genes	26369113	+	0	0	760	0	0	0	2	2	26368734 	26369493 	
At5g38360	5	annotated_genes	15350194	-	0	0	1185	0	0	0	6	6	15350786 	15349602 	
At5g65880	5	annotated_genes	26370581	+	0	0	639	0	0	0	2	2	26370262 	26370900 	
At5g65890	5	annotated_genes	26373613	+	0	0	2958	0	0	0	7	6	26372135 	26375092 	
At5g38365	5	annotated_genes	15354264	+	1	0	5724	0	0	0	1	1	15351403 	15357126 	
At5g65900	5	annotated_genes	26377050	+	0	0	3238	0	0	0	12	12	26375432 	26378669 	
At5g65910	5	annotated_genes	26379676	-	0	0	2021	0	0	0	3	3	26380686 	26378666 	
At5g38370	5	annotated_genes	15357774	-	0	0	303	0	0	0	1	1	15357925 	15357623 	
At5g65920	5	annotated_genes	26382232	-	0	0	1984	0	0	0	1	1	26383224 	26381241 	
At5g38380	5	annotated_genes	15364273	+	0	0	2768	0	0	1	7	7	15362890 	15365657 	
At5g38383	5	annotated_genes	15373074	+	1	0	8937	0	0	0	1	1	15368606 	15377542 	
At5g38386	5	annotated_genes	15381226	+	0	0	1638	0	0	0	5	5	15380408 	15382045 	
At5g38390	5	annotated_genes	15384472	+	0	0	1622	0	0	0	3	3	15383662 	15385283 	
At5g16570	5	annotated_genes	5423157	-	0	0	2824	0	0	0	12	12	5424569 	5421746 	
At5g16580	5	annotated_genes	5426683	-	0	0	1584	0	0	0	8	8	5427475 	5425892 	
At5g16590	5	annotated_genes	5432898	+	0	0	2430	0	0	0	3	3	5431684 	5434113 	
At5g16600	5	annotated_genes	5439271	+	0	0	1955	0	0	0	3	3	5438294 	5440248 	
At5g16610	5	annotated_genes	5446641	-	0	0	3350	0	0	1	11	9	5448316 	5444967 	
At5g16620	5	annotated_genes	5452603	+	0	0	3810	0	0	0	14	14	5450699 	5454508 	
At5g16630	5	annotated_genes	5457264	+	0	0	4634	0	0	0	13	12	5454948 	5459581 	
At5g16640	5	annotated_genes	5461763	+	0	0	1570	0	0	0	1	1	5460979 	5462548 	
At5g16650	5	annotated_genes	5464257	-	0	0	2150	0	0	0	7	7	5465332 	5463183 	
At5g65925	5	annotated_genes	26386624	+	0	0	707	0	0	0	1	1	26386271 	26386977 	
At5g65930	5	annotated_genes	26390586	-	0	0	6320	0	0	1	21	21	26393746 	26387427 	
At5g65940	5	annotated_genes	26395125	-	0	0	2580	0	0	0	14	14	26396415 	26393836 	
At5g65950	5	annotated_genes	26400696	+	0	0	3503	0	0	0	4	4	26398945 	26402447 	
At5g38393	5	annotated_genes	15387581	+	1	0	4248	0	0	0	1	1	15385458 	15389705 	
At5g65960	5	annotated_genes	26403602	+	0	0	2057	0	0	0	6	6	26402574 	26404630 	
At5g38396	5	annotated_genes	15391140	+	0	0	1633	0	0	0	3	3	15390324 	15391956 	
At5g38400	5	annotated_genes	15393303	+	0	0	456	0	0	0	1	1	15393076 	15393531 	
At5g65970	5	annotated_genes	26406166	-	0	0	3025	0	0	0	15	15	26407678 	26404654 	
At5g38410	5	annotated_genes	15394995	-	0	0	1185	0	0	0	3	3	15395587 	15394403 	
At5g38420	5	annotated_genes	15398726	-	0	0	1067	0	0	0	3	3	15399259 	15398193 	
At5g65980	5	annotated_genes	26410564	+	0	0	1789	0	0	0	8	8	26409670 	26411458 	
At5g38430	5	annotated_genes	15401913	-	0	0	1007	0	0	0	3	3	15402416 	15401410 	
At5g65990	5	annotated_genes	26413108	+	0	0	2001	0	0	0	2	2	26412108 	26414108 	
At5g38435	5	annotated_genes	15406008	+	1	0	1398	0	0	0	1	1	15405310 	15406707 	
At5g38440	5	annotated_genes	15407653	+	0	0	402	0	0	0	1	1	15407453 	15407854 	
At5g38450	5	annotated_genes	15412746	-	0	0	3526	0	0	0	5	5	15414509 	15410984 	
At5g38460	5	annotated_genes	15416885	-	0	0	2743	0	0	0	6	6	15418256 	15415514 	
At5g16660	5	annotated_genes	5466278	-	0	0	1577	0	0	0	4	4	5467066 	5465490 	
At5g16680	5	annotated_genes	5470520	-	0	0	5968	0	0	0	12	11	5473504 	5467537 	
At5g16690	5	annotated_genes	5476644	+	0	0	4463	0	0	0	12	12	5474413 	5478875 	
At5g16700	5	annotated_genes	5481907	+	0	0	2283	0	0	0	4	4	5480766 	5483048 	
At5g16710	5	annotated_genes	5484180	+	0	0	1779	0	0	0	6	6	5483291 	5485069 	
At5g16715	5	annotated_genes	5489381	+	0	0	8052	0	0	0	27	27	5485356 	5493407 	
At5g16720	5	annotated_genes	5495522	+	0	0	2583	0	0	0	3	3	5494231 	5496813 	
At5g16730	5	annotated_genes	5499370	+	0	0	2956	0	0	0	3	3	5497893 	5500848 	
At5g66000	5	annotated_genes	26413948	-	0	0	1556	0	0	0	2	1	26414726 	26413171 	
At5g66005	5	annotated_genes	26415714	-	0	0	1520	0	0	1	6	4	26416465 	26414946 	
At5g66010	5	annotated_genes	26417441	+	0	0	1568	0	0	0	3	3	26416658 	26418225 	
At5g66020	5	annotated_genes	26420205	-	0	0	3425	0	0	0	20	20	26421917 	26418493 	
At5g38470	5	annotated_genes	15423406	+	0	0	3070	0	0	0	12	12	15421872 	15424941 	
At5g66030	5	annotated_genes	26424630	-	0	0	4968	0	0	1	20	20	26427114 	26422147 	
At5g38480	5	annotated_genes	15427826	+	0	0	1799	0	0	0	5	4	15426927 	15428725 	
At5g66040	5	annotated_genes	26428154	+	0	0	836	0	0	1	3	2	26427746 	26428581 	
At5g38490	5	annotated_genes	15429645	-	0	0	1095	0	0	0	1	1	15430192 	15429098 	
At5g66050	5	annotated_genes	26430539	-	0	0	2448	0	0	1	9	9	26431762 	26429315 	
At5g66052	5	annotated_genes	26433575	+	0	0	235	0	0	0	1	1	26433458 	26433692 	
At5g38500	5	annotated_genes	15433865	-	0	0	1236	0	0	0	1	1	15434483 	15433248 	
At5g66055	5	annotated_genes	26435436	-	0	0	2109	0	0	1	7	7	26436490 	26434382 	
At5g66060	5	annotated_genes	26437431	+	0	0	1450	0	0	0	6	6	26436707 	26438156 	
At5g38510	5	annotated_genes	15436150	-	0	0	2164	0	0	0	6	6	15437232 	15435069 	
At5g38520	5	annotated_genes	15439732	+	0	0	1858	0	0	0	6	6	15438804 	15440661 	
At5g38530	5	annotated_genes	15442484	+	0	0	2432	0	0	0	6	6	15441269 	15443700 	
At5g16740	5	annotated_genes	5501953	-	0	0	1813	0	0	0	3	3	5502859 	5501047 	
At5g16750	5	annotated_genes	5506847	-	0	0	4997	0	0	0	14	14	5509345 	5504349 	
At5g16760	5	annotated_genes	5510456	+	0	0	1559	0	0	0	1	1	5509677 	5511235 	
At5g16770	5	annotated_genes	5515913	+	0	0	2053	0	0	1	4	3	5514887 	5516939 	
At5g16780	5	annotated_genes	5519894	-	0	0	4734	0	0	0	13	12	5522261 	5517528 	
At5g16790	5	annotated_genes	5523206	-	0	0	1416	0	0	0	3	2	5523914 	5522499 	
At5g16800	5	annotated_genes	5525441	-	0	0	2250	0	0	1	5	5	5526566 	5524317 	
At5g16810	5	annotated_genes	5528344	-	0	0	3155	0	0	0	12	12	5529921 	5526767 	
At5g16820	5	annotated_genes	5531564	+	0	0	2481	0	0	1	3	2	5530333 	5532813 	
At5g16830	5	annotated_genes	5534045	-	0	0	2393	0	0	0	7	7	5535241 	5532849 	
At5g66070	5	annotated_genes	26439728	+	0	0	1160	0	0	0	5	5	26439149 	26440308 	
At5g66080	5	annotated_genes	26441638	-	0	0	1988	0	0	0	4	4	26442632 	26440645 	
At5g66090	5	annotated_genes	26443678	+	0	0	1433	0	0	0	5	5	26442962 	26444394 	
At5g66100	5	annotated_genes	26445973	+	0	0	2518	0	0	0	6	6	26444715 	26447232 	
At5g38540	5	annotated_genes	15444990	-	0	0	1901	0	0	0	4	4	15445940 	15444040 	
At5g66110	5	annotated_genes	26447821	+	0	0	366	0	0	0	1	1	26447639 	26448004 	
At5g38550	5	annotated_genes	15451557	-	0	0	2894	0	0	0	6	5	15453004 	15450111 	
At5g66120	5	annotated_genes	26449463	-	0	0	2403	0	0	1	7	7	26451004 	26448602 	
At5g38560	5	annotated_genes	15458436	+	0	0	3916	0	0	0	7	7	15456479 	15460394 	
At5g66130	5	annotated_genes	26452869	+	0	0	3159	0	0	0	11	11	26451290 	26454448 	
At5g38565	5	annotated_genes	15462193	-	0	0	2093	0	0	0	6	6	15463239 	15461147 	
At5g66140	5	annotated_genes	26455171	-	0	0	1552	0	0	0	3	3	26455947 	26454396 	
At5g38570	5	annotated_genes	15467170	-	0	0	1323	0	0	0	3	3	15467831 	15466509 	
At5g66150	5	annotated_genes	26458949	-	0	0	5422	0	0	0	25	25	26461660 	26456239 	
At5g38580	5	annotated_genes	15468733	-	0	0	679	0	0	0	3	3	15469072 	15468394 	
At5g66160	5	annotated_genes	26463501	+	0	0	2335	0	0	1	4	4	26462325 	26464659 	
At5g38590	5	annotated_genes	15470151	-	0	0	1965	0	0	1	4	3	15471127 	15469163 	
At5g38595	5	annotated_genes	15471875	+	0	0	520	0	0	0	2	2	15471616 	15472135 	
At5g38600	5	annotated_genes	15476258	+	0	0	4862	0	0	0	9	8	15473828 	15478689 	
At5g38610	5	annotated_genes	15478374	-	0	0	600	0	0	0	1	1	15478674 	15478075 	
At5g16840	5	annotated_genes	5537088	+	0	0	2331	0	0	0	5	5	5535923 	5538253 	
At5g16850	5	annotated_genes	5540527	-	0	0	6039	0	0	0	12	12	5543546 	5537508 	
At5g16860	5	annotated_genes	5545113	+	0	0	2553	0	0	0	1	1	5543837 	5546389 	
At5g16870	5	annotated_genes	5547776	-	0	0	1926	0	0	0	8	7	5548739 	5546814 	
At5g16880	5	annotated_genes	5550229	+	0	0	2498	0	0	2	5	4	5548969 	5551466 	
At5g16890	5	annotated_genes	5553276	+	0	0	3289	0	0	0	9	9	5551632 	5554920 	
At5g16900	5	annotated_genes	5557487	+	0	0	4462	0	0	0	13	13	5555257 	5559718 	
At5g16910	5	annotated_genes	5563632	+	0	0	3902	0	0	0	3	3	5561682 	5565583 	
At5g16920	5	annotated_genes	5567572	+	0	0	1118	0	0	0	1	1	5567014 	5568131 	
At5g16930	5	annotated_genes	5570177	+	0	0	3563	0	0	0	8	8	5568396 	5571958 	
At5g66170	5	annotated_genes	26465413	+	0	0	1080	0	0	0	5	5	26464874 	26465953 	
At5g66180	5	annotated_genes	26467161	+	0	0	1968	0	0	0	7	7	26466178 	26468145 	
At5g66190	5	annotated_genes	26469185	-	0	0	2406	0	0	0	9	9	26470388 	26467983 	
At5g66200	5	annotated_genes	26471867	-	0	0	2363	0	0	0	1	1	26473048 	26470686 	
At5g38620	5	annotated_genes	15481612	-	0	0	1050	0	0	0	1	1	15482137 	15481088 	
At5g66210	5	annotated_genes	26475106	-	0	0	3208	0	0	1	13	12	26476724 	26473517 	
At5g38630	5	annotated_genes	15484318	+	0	0	2194	0	0	0	4	4	15483222 	15485415 	
At5g66220	5	annotated_genes	26478901	+	0	0	998	0	0	0	4	4	26478403 	26479400 	
At5g38640	5	annotated_genes	15486431	-	0	0	3046	0	0	0	7	7	15487954 	15484909 	
At5g66230	5	annotated_genes	26480589	+	0	0	1537	0	0	0	3	3	26479821 	26481357 	
At5g38650	5	annotated_genes	15489108	-	0	0	1834	0	0	0	4	4	15490025 	15488192 	
At5g09540	5	annotated_genes	2962844	-	0	0	843	0	0	0	1	1	2963265 	2962423 	
At5g66240	5	annotated_genes	26484544	+	0	0	2223	0	0	1	11	11	26483430 	26485652 	
At5g38660	5	annotated_genes	15491564	-	0	0	2403	0	0	0	9	9	15492765 	15490363 	
At5g38670	5	annotated_genes	15493558	+	0	0	1086	0	0	0	2	2	15493016 	15494101 	
At5g09550	5	annotated_genes	2965641	+	0	0	2175	0	0	0	10	10	2964554 	2966728 	
At5g66250	5	annotated_genes	26486770	+	0	0	2024	0	0	2	3	2	26485759 	26487782 	
At5g38680	5	annotated_genes	15495412	+	0	0	1717	0	0	0	2	2	15494554 	15496270 	
At5g09560	5	annotated_genes	2968190	+	0	0	2040	0	0	0	4	4	2967171 	2969210 	
At5g38690	5	annotated_genes	15498349	-	0	0	3885	0	0	0	13	13	15500291 	15496407 	
At5g09570	5	annotated_genes	2971426	+	0	0	1513	0	0	0	5	5	2970670 	2972182 	
At5g38700	5	annotated_genes	15507225	+	0	0	486	0	0	0	1	1	15506983 	15507468 	
At5g09580	5	annotated_genes	2973539	+	0	0	1800	0	0	0	8	8	2972640 	2974439 	
At5g38705	5	annotated_genes	15511874	-	1	0	5205	0	0	0	1	1	15514476 	15509272 	
At5g09590	5	annotated_genes	2977163	+	0	0	3176	0	0	0	6	6	2975576 	2978751 	
At5g09600	5	annotated_genes	2979999	+	0	0	1692	0	0	0	4	4	2979154 	2980845 	
At5g09610	5	annotated_genes	2981933	+	0	0	1554	0	0	0	1	1	2981157 	2982710 	
At5g09620	5	annotated_genes	2984443	-	0	0	1987	0	0	0	1	1	2985436 	2983450 	
At5g66260	5	annotated_genes	26488689	+	0	0	390	0	0	0	2	2	26488495 	26488884 	
At5g66270	5	annotated_genes	26491734	-	0	0	2551	0	0	0	4	4	26493009 	26490459 	
At5g66280	5	annotated_genes	26494368	+	0	0	1953	0	0	0	1	1	26493392 	26495344 	
At5g38710	5	annotated_genes	15519849	+	0	0	2560	0	0	0	4	4	15518570 	15521129 	
At5g66290	5	annotated_genes	26495835	-	0	0	1665	0	0	0	6	6	26496667 	26495003 	
At5g38720	5	annotated_genes	15526633	-	0	0	2313	0	0	0	8	8	15527789 	15525477 	
At5g09630	5	annotated_genes	2986762	-	0	0	1783	0	0	0	2	1	2987653 	2985871 	
At5g66300	5	annotated_genes	26497852	-	0	0	1243	0	0	0	3	3	26498473 	26497231 	
At5g38730	5	annotated_genes	15529026	+	0	0	1791	0	0	0	1	1	15528131 	15529921 	
At5g66310	5	annotated_genes	26505759	-	0	0	5698	0	0	0	15	13	26508608 	26502911 	
At5g38740	5	annotated_genes	15530895	-	0	0	1281	0	0	0	1	1	15531535 	15530255 	
At5g09640	5	annotated_genes	2989736	+	0	0	2843	0	0	0	14	14	2988315 	2991157 	
At5g66320	5	annotated_genes	26514119	-	0	0	1878	0	0	1	3	2	26515058 	26513181 	
At5g38750	5	annotated_genes	15540145	+	0	0	531	0	0	0	3	3	15539880 	15540410 	
At5g09650	5	annotated_genes	2992185	-	0	0	2059	0	0	0	6	6	2993214 	2991156 	
At5g66330	5	annotated_genes	26518404	-	0	0	1554	0	0	0	1	1	26519181 	26517628 	
At5g38760	5	annotated_genes	15541807	+	0	0	800	0	0	0	3	3	15541408 	15542207 	
At5g09660	5	annotated_genes	2994561	-	0	0	2231	0	0	0	8	8	2995676 	2993446 	
At5g38770	5	annotated_genes	15543490	+	0	0	294	0	0	0	1	1	15543344 	15543637 	
At5g09670	5	annotated_genes	2997415	-	0	0	3005	0	0	1	2	1	2998917 	2995913 	
At5g38780	5	annotated_genes	15547998	+	0	0	1508	0	0	0	3	3	15547245 	15548752 	
At5g09680	5	annotated_genes	2999910	-	0	0	1334	0	0	0	4	3	3000577 	2999244 	
At5g38790	5	annotated_genes	15551212	+	0	0	396	0	0	0	1	1	15551015 	15551410 	
At5g09690	5	annotated_genes	3002087	-	0	0	2692	0	0	2	11	11	3003501 	3000810 	
At5g09700	5	annotated_genes	3004425	-	0	0	1409	0	0	0	3	3	3005129 	3003721 	
At5g09710	5	annotated_genes	3009449	-	0	0	3080	0	0	0	9	9	3010989 	3007910 	
At5g09720	5	annotated_genes	3013068	-	0	0	2665	0	0	0	9	9	3014400 	3011736 	
At5g33438	5	annotated_genes	12770757	-	1	0	2016	0	0	0	1	1	12771765 	12769750 	
At5g33442	5	annotated_genes	12774188	+	1	0	2635	0	0	0	1	1	12772871 	12775505 	
At5g38800	5	annotated_genes	15555729	-	0	0	606	0	0	0	1	1	15556032 	15555427 	
At5g33533	5	annotated_genes	12779924	-	1	0	7678	0	0	0	1	1	12783763 	12776086 	
At5g38810	5	annotated_genes	15558242	-	0	0	1057	0	0	0	3	3	15558770 	15557714 	
At5g33624	5	annotated_genes	12790652	-	1	0	5976	0	0	0	1	1	12793640 	12787665 	
At5g33715	5	annotated_genes	12799773	-	0	0	489	0	0	0	1	1	12800017 	12799529 	
At5g09730	5	annotated_genes	3016755	-	0	0	3016	0	0	0	6	6	3018263 	3015248 	
At5g38820	5	annotated_genes	15561561	+	0	0	1702	0	0	0	5	5	15560711 	15562412 	
At5g33806	5	annotated_genes	12803298	+	0	0	2460	0	0	0	6	6	12802069 	12804528 	
At5g09740	5	annotated_genes	3023353	-	0	0	2746	0	0	0	9	9	3024726 	3021981 	
At5g33898	5	annotated_genes	12805418	+	0	0	1180	0	0	0	5	5	12804829 	12806008 	
At5g09750	5	annotated_genes	3026739	-	0	0	675	0	0	0	1	1	3027076 	3026402 	
At5g38830	5	annotated_genes	15564188	-	0	0	2389	0	0	0	8	8	15565382 	15562994 	
At5g09760	5	annotated_genes	3033460	+	0	0	2169	0	0	0	2	2	3032376 	3034544 	
At5g38840	5	annotated_genes	15570413	+	0	0	3775	0	0	0	12	12	15568526 	15572300 	
At5g09770	5	annotated_genes	3035795	-	0	0	1497	0	0	0	6	6	3036543 	3035047 	
At5g38850	5	annotated_genes	15574174	+	0	0	3577	0	0	0	4	4	15572386 	15575962 	
At5g09780	5	annotated_genes	3037721	-	0	0	1529	0	0	0	4	4	3038485 	3036957 	
At5g38860	5	annotated_genes	15577252	+	0	0	2069	0	0	0	6	6	15576218 	15578286 	
At5g09790	5	annotated_genes	3040012	-	0	0	2067	0	0	0	5	5	3041045 	3038979 	
At5g09800	5	annotated_genes	3043738	-	0	0	1230	0	0	0	1	1	3044353 	3043124 	
At5g09810	5	annotated_genes	3053391	+	0	0	2449	0	0	0	5	4	3052167 	3054615 	
At5g09820	5	annotated_genes	3056666	-	0	0	1559	0	0	0	5	5	3057445 	3055887 	
At5g33990	5	annotated_genes	12810221	-	1	0	3120	0	0	0	1	1	12811781 	12808662 	
At5g34082	5	annotated_genes	12813136	-	1	0	1876	0	0	0	1	1	12814074 	12812199 	
At5g34174	5	annotated_genes	12815043	+	1	0	1233	0	0	0	1	1	12814427 	12815659 	
At5g34266	5	annotated_genes	12816388	-	1	0	954	0	0	0	1	1	12816865 	12815912 	
At5g38870	5	annotated_genes	15579023	+	1	0	658	0	0	0	1	1	15578695 	15579352 	
At5g34358	5	annotated_genes	12819843	+	0	0	471	0	0	0	2	2	12819608 	12820078 	
At5g38880	5	annotated_genes	15583480	-	0	0	5889	0	0	0	10	10	15586424 	15580536 	
At5g34376	5	annotated_genes	12855547	-	1	0	960	0	0	0	1	1	12856027 	12855068 	
At5g38890	5	annotated_genes	15587523	+	0	0	1604	0	0	0	6	6	15586722 	15588325 	
At5g34394	5	annotated_genes	12856983	+	1	0	1227	0	0	0	1	1	12856370 	12857596 	
At5g38895	5	annotated_genes	15589893	+	0	0	2300	0	0	0	5	4	15588744 	15591043 	
At5g34412	5	annotated_genes	12858394	-	1	0	1347	0	0	0	1	1	12859067 	12857721 	
At5g09830	5	annotated_genes	3058240	-	0	0	1165	0	0	0	3	3	3058822 	3057658 	
At5g38900	5	annotated_genes	15591791	-	0	0	2114	0	0	0	8	7	15592848 	15590735 	
At5g34431	5	annotated_genes	12906817	+	1	0	2787	0	0	0	1	1	12905424 	12908210 	
At5g09840	5	annotated_genes	3060484	+	0	0	2974	0	0	0	2	2	3058998 	3061971 	
At5g38910	5	annotated_genes	15596427	+	0	0	774	0	0	0	2	2	15596041 	15596814 	
At5g34450	5	annotated_genes	12910764	+	0	0	949	0	0	0	4	4	12910290 	12911238 	
At5g09850	5	annotated_genes	3064571	-	0	0	2639	0	0	0	9	9	3065890 	3063252 	
At5g38920	5	annotated_genes	15599309	-	0	0	721	0	0	0	2	2	15599669 	15598949 	
At5g09860	5	annotated_genes	3068787	+	0	0	4294	0	0	0	20	20	3066641 	3070934 	
At5g38930	5	annotated_genes	15602687	+	0	0	769	0	0	0	2	2	15602303 	15603071 	
At5g09870	5	annotated_genes	3075666	+	0	0	4619	0	0	0	13	13	3073357 	3077975 	
At5g38940	5	annotated_genes	15606451	+	0	0	890	0	0	0	2	2	15606007 	15606896 	
At5g09880	5	annotated_genes	3083356	-	0	0	3798	0	0	0	13	13	3085255 	3081458 	
At5g38950	5	annotated_genes	15608101	+	0	0	358	0	0	0	2	2	15607923 	15608280 	
At5g09890	5	annotated_genes	3087269	-	0	0	3448	0	0	0	12	12	3088993 	3085546 	
At5g09900	5	annotated_genes	3090923	-	0	0	3290	0	0	1	11	11	3092568 	3089279 	
At5g09910	5	annotated_genes	3094481	+	0	0	2418	0	0	0	8	8	3093273 	3095690 	
At5g09920	5	annotated_genes	3096880	+	0	0	1393	0	0	0	6	6	3096184 	3097576 	
At5g34460	5	annotated_genes	12914743	+	0	0	413	0	0	0	2	2	12914537 	12914949 	
At5g34480	5	annotated_genes	12916598	-	1	0	2160	0	0	0	1	1	12917678 	12915519 	
At5g34500	5	annotated_genes	12919862	+	0	0	1023	0	0	0	4	4	12919351 	12920373 	
At5g34520	5	annotated_genes	12922134	+	1	0	1560	0	0	0	1	1	12921355 	12922914 	
At5g38960	5	annotated_genes	15610617	+	0	0	792	0	0	0	2	2	15610222 	15611013 	
At5g34540	5	annotated_genes	12926808	+	0	0	926	0	0	0	2	2	12926346 	12927271 	
At5g38970	5	annotated_genes	15613509	-	0	0	3212	0	0	2	9	9	15615115 	15611904 	
At5g34560	5	annotated_genes	12934309	-	1	0	984	0	0	0	1	1	12934801 	12933818 	
At5g38975	5	annotated_genes	15617062	+	1	0	425	0	0	0	1	1	15616850 	15617274 	
At5g34581	5	annotated_genes	12937922	+	0	0	653	0	0	0	2	2	12937596 	12938248 	
At5g38980	5	annotated_genes	15624290	+	0	0	579	0	0	0	1	1	15624001 	15624579 	
At5g34602	5	annotated_genes	12939407	+	1	0	1761	0	0	0	1	1	12938527 	12940287 	
At5g09930	5	annotated_genes	3098943	-	0	0	2599	0	0	0	8	8	3100242 	3097644 	
At5g38990	5	annotated_genes	15627436	+	0	0	2785	0	0	0	1	1	15626044 	15628828 	
At5g34623	5	annotated_genes	12948158	-	1	0	4842	0	0	0	1	1	12950579 	12945738 	
At5g09940	5	annotated_genes	3101513	+	0	0	642	0	0	0	1	1	3101193 	3101834 	
At5g39000	5	annotated_genes	15630400	+	0	0	2622	0	0	0	1	1	15629090 	15631711 	
At5g34644	5	annotated_genes	12952018	-	1	0	1296	0	0	0	1	1	12952666 	12951371 	
At5g09950	5	annotated_genes	3104371	-	0	0	2988	0	0	0	1	1	3105865 	3102878 	
At5g09960	5	annotated_genes	3107075	+	0	0	1510	0	0	0	3	3	3106321 	3107830 	
At5g39010	5	annotated_genes	15633432	+	0	0	510	0	0	0	1	1	15633178 	15633687 	
At5g09970	5	annotated_genes	3113093	+	0	0	2295	0	0	0	2	2	3111946 	3114240 	
At5g09980	5	annotated_genes	3123333	+	0	0	1153	0	0	0	2	2	3122757 	3123909 	
At5g39020	5	annotated_genes	15635367	+	0	0	2442	0	0	0	1	1	15634147 	15636588 	
At5g09990	5	annotated_genes	3124821	+	0	0	505	0	0	0	2	2	3124569 	3125073 	
At5g09995	5	annotated_genes	3125727	-	0	0	1341	0	0	2	5	5	3126379 	3125039 	
At5g10000	5	annotated_genes	3126933	+	0	0	447	0	0	0	1	1	3126710 	3127156 	
At5g10010	5	annotated_genes	3129814	+	0	0	3815	0	0	0	13	13	3127907 	3131721 	
At5g34665	5	annotated_genes	12955103	+	1	0	4713	0	0	0	1	1	12952747 	12957459 	
